"CAS","DTXSID","PREFERRED_NAME","element_metal","C..Z..C.Q","C..O.N","C..O.O","bond.C.O","CC..O.C","CN_amine","COC","COH_alcohol","CX_halide","P.O","quatN","S..O.N","S..O.O","S..O.X","bond.X","bond.metal","alkaneBranch","alkaneCyclic","chain.alkaneLinear","alkeneLinear","aromaticAlkane","oxy.alkaneLinear","ligand","ring.hetero","bond.C.N","CS","N..C.","NC.O","OZ_oxide","PC","QQ.Q.O_S","S.O","alkeneBranch","ring.aromatic","S.N"
"914637-49-3","DTXSID20874028","2H,2H,3H,3H-Perfluorooctanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"19932-26-4","DTXSID70880230","((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1",0,0,0,0,0,0,0,0,0,0,0
"41997-13-1","DTXSID50469320","Perfluorohexanesulfonamide","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0",0,0,1,0,0,0,0,1,0,0,1
"757124-72-4","DTXSID30891564","4:2 Fluorotelomer sulfonic acid","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,1,0,0,1,0,0,0
"252237-40-4","DTXSID20179883","2-(Perfluorohexyl)ethylphosphonic acid","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,1,1,0,0,0,0,0
"801212-59-9","DTXSID60663110","Perfluoro-4-isopropoxybutanoic acid","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"812-70-4","DTXSID90382620","3-Perfluoroheptylpropanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"34143-74-3","DTXSID20337446","2-(Perfluorooctyl)ethanthiol","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,1,0,0,0,0,1,0,0,0,0
"1763-23-1","DTXSID3031864","Perfluorooctanesulfonic acid","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,1,0,0,1,0,0,0
"307-34-6","DTXSID0059794","Perfluorooctane","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"4151-50-2","DTXSID1032646","N-Ethylperfluorooctanesulfonamide","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,1,0,0,1
"1691-99-2","DTXSID6027426","N-Ethyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0",0,0,0,0,0,0,0,1,0,0,1
"1763-28-6","DTXSID30170109","3,3-Bis(trifluoromethyl)-2-propenoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0",0,0,0,0,0,0,0,0,1,0,0
"679-12-9","DTXSID50892417","4H-Perfluorobutanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"147492-57-7","DTXSID40380797","1H,1H-Perfluoro-3,6,9-trioxadecan-1-ol","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"330562-41-9","DTXSID50375114","Perfluoro-3,6,9-trioxatridecanoic acid","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"335-58-0","DTXSID5059828","1-Iodopentadecafluoroheptane","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"568550-25-4","DTXSID70537191","Methyl 3H-perfluoroisopropyl ether","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"2395-00-8","DTXSID00880026","Potassium perfluorooctanoate","1","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"424-16-8","DTXSID30340244","1H,1H,7H-Perfluoroheptyl 4-methylbenzenesulfonate","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0",0,0,0,0,0,0,0,1,0,1,0
"1651-41-8","DTXSID10379991","3-(Perfluorooctyl)propanol","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"129301-42-4","DTXSID70381090","1H,1H,8H,8H-Perfluoro-3,6-dioxaoctane-1,8-diol","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"335-99-9","DTXSID9059832","1H,1H,7H-Dodecafluoro-1-heptanol","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"55621-21-1","DTXSID20375106","Perfluoro-3,6-dioxaoctane-1,8-dioic acid","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"355-80-6","DTXSID0059879","1H,1H,5H-Perfluoropentanol","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"65294-16-8","DTXSID70276659","Perfluoro-(2,5,8-trimethyl-3,6,9-trioxadodecanoic)acid","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"29420-49-3","DTXSID3037707","Potassium perfluorobutanesulfonate","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,1,0,0,0
"2795-39-3","DTXSID8037706","Potassium perfluorooctanesulfonate","1","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,1,0,0,0
"125070-38-4","DTXSID10382147","3-(Perfluoro-2-butyl)propane-1,2-diol","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"132424-36-3","DTXSID50441560","Methyl 2H,2H,3H,3H-perfluoroheptanoate","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"330562-44-2","DTXSID00380798","1H,1H,11H,11H-Perfluorotetraethylene glycol","0","1","0","0","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"3934-23-4","DTXSID5063235","2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooctyl methacrylate","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0",0,0,0,0,0,0,0,0,1,0,0
"90177-96-1","DTXSID30396867","1H,1H,8H,8H-Perfluorooctane-1,8-diol","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"1652-63-7","DTXSID8051419","Perfluorooctanesulfonamido ammonium iodide","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","0","0","0","1","0","0","0","1","0",0,0,0,0,0,0,0,1,0,0,1
"13485-61-5","DTXSID60400587","Nonafluoropentanamide","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,1,0,0,0,0,0,0,0
