"CAS","DTXSID","PREFERRED_NAME","element_metal","C..Z..C.Q","C..O.N","C..O.O","bond.C.O","CC..O.C","CN_amine","COC","COH_alcohol","CX_halide","P.O","quatN","S..O.N","S..O.O","S..O.X","bond.X","bond.metal","alkaneBranch","alkaneCyclic","chain.alkaneLinear","alkeneLinear","aromaticAlkane","oxy.alkaneLinear","ligand","ring.hetero","bond.C.N","CS","N..C.","NC.O","OZ_oxide","PC","QQ.Q.O_S","S.O","alkeneBranch","ring.aromatic","S.N"
"4180-26-1","DTXSID00194615","1H,1H,9H-Perfluorononyl acrylate","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"662-50-0","DTXSID2060965","Heptafluorobutyramide","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,1,0,0,0,0,0,0,0
"307-31-3","DTXSID70381151","Perfluorooctanamidine","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",1,0,0,0,0,0,0,0,0,0,0
"422-64-0","DTXSID8059970","Perfluoropropanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"2144-53-8","DTXSID3047558","6:2 Fluorotelomer methacrylate","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0",0,0,0,0,0,0,0,0,1,0,0
"57678-01-0","DTXSID90558000","6:2 Fluorotelomer phosphate monoester","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,1,0,0,0,0,0,0
"53296-64-3","DTXSID40379666","N-Methyl-N-trimethylsilylheptafluorobutyramide","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0",0,0,0,1,0,0,0,0,0,0,0
"54009-81-3","DTXSID00379884","3-(Perfluoro-3-methylbutyl)-1,2-propenoxide","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1",0,0,0,0,0,0,0,0,0,0,0
"2043-52-9","DTXSID90880156","1-Iodo-1H,1H,2H,2H-perfluorononane","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"74427-22-8","DTXSID30378880","2,2-Difluoroethyl triflate","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,1,0,0,0
"25600-66-2","DTXSID50382621","7:3 Fluorotelomer alcohol","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"2043-55-2","DTXSID1047578","1H,1H,2H,2H-Perfluorohexyl iodide","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"20825-07-4","DTXSID90174941","3H,3H-Perfluoro-2,4-hexanedione","0","1","0","0","1","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0",0,0,0,0,0,0,0,0,0,0,0
"377-73-1","DTXSID70191136","Perfluoro-3-methoxypropanoic acid","0","1","0","1","1","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"375-22-4","DTXSID4059916","Perfluorobutanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"335-76-2","DTXSID3031860","Perfluorodecanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"375-92-8","DTXSID8059920","Perfluoroheptanesulfonic acid","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,1,0,0,1,0,0,0
"335-67-1","DTXSID8031865","Perfluorooctanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"754-96-1","DTXSID50369896","1H,1H,10H,10H-Perfluorodecane-1,10-diol","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"7383-71-3","DTXSID10224331","2,2,3,3-Tetrafluoropropyl acrylate","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"1/9/2264","DTXSID80379721","1H,1H,6H,6H-Perfluorohexane-1,6-diol diacrylate","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"3825-26-1","DTXSID8037708","Ammonium perfluorooctanoate","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"865-79-2","DTXSID30382104","9-Chloro-perfluorononanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"307-35-7","DTXSID5027140","Perfluorooctanesulfonyl fluoride","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,1,0,0,0
"356-02-5","DTXSID00379268","3:3 Fluorotelomer carboxylic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"2706-90-3","DTXSID6062599","Perfluoropentanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"559-14-8","DTXSID40204489","Perfluorooct-1-ene","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"307-24-4","DTXSID3031862","Perfluorohexanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"72629-94-8","DTXSID90868151","Perfluorotridecanoic acid","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0
