"","chemical_id","chemical_name","CASRN","DTXSID","Classification","Fluorinated.Carbons","MO24","DP24","SM24","MORT","CRAN","AXIS","EDEM","MUSC","LTRK","BRN_","SKIN","NC__","TCHR","Morph.BMD10","Background","Excitatory","Refractory","Light","Dark","AVERAGE_MASS","TOXCAST_NUMBER_OF_ASSAYS.TOTAL","OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED","OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED","VAPOR_PRESSURE_MMHG_TEST_PRED","ORAL_RAT_LD50_MOL.KG_TEST_PRED","EPR.LEL","LPR.LEL","Chromotography","Volatile","Background_new","Excitatory_new","Refractory_new","Light_new","Dark_new"
"21",4337,"Hexafluoroglutaryl chloride","678-77-3","DTXSID0060985","perfluoroalkyl halide",3,50.8838291982467,NA,NA,50.8748135015679,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.8748135015679,NA,NA,NA,NA,NA,276.94,"-",4.42658,2.95946,"0.68865200000000004","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"22",4338,"6:1 Fluorotelomer alcohol","375-82-6","DTXSID00190950","fluorotelomer alcohol",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,350.079,"-",3.83483,2.92694,"3.78443","0.00051641600000000001",NA,100,"GC","Volatile",NA,NA,NA,NA,NA
"23",4339,"((Perfluorooctyl)ethyl)phosphonic acid","80220-63-9","DTXSID30627108","fluorotelomer phosphonic acid",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,528.102,NA,7.94,5,"0.000195",NA,NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"24",4340,"(Heptafluoropropyl)trimethylsilane","3834-42-2","DTXSID70400078","perfluoroalkyl silane",3,98.8479251484819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,242.212,NA,1.59,4.02,"128",NA,NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"25",4341,"Bis(1H,1H-perfluoropropyl)amine","883498-76-8","DTXSID50381992","perfluoroalkyl amine",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,281.097,"-",2.53753,2.56143,"7.3451399999999998","0.0018281",11.1,NA,"GC","Volatile",NA,NA,NA,NA,NA
"26",4342,"Perfluoro-1-iodohexane","355-43-1","DTXSID7047566","perfluoroalkyl halide",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,445.95,"-",2.74781,3.6333,"6.6374300000000002","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"27",4343,"6:2 Fluorotelomer sulfonic acid","27619-97-2","DTXSID6067331","fluorotelomer sulfonic acid",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,NA,NA,NA,NA,428.16,"-",5.71004,3.87901,"-","-",66.5,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"28",4344,"Perfluoro-1-octanesulfonyl chloride","423-60-9","DTXSID90315130","perfluoroalkylsulfonyl halide",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,0.015,518.57,"-",3.95868,2.51052,"0.057809600000000003","-",NA,0.015,"GC","Volatile",NA,NA,NA,33.3,NA
"29",4345,"1-(Perfluorofluorooctyl)propane-2,3-diol","94159-84-9","DTXSID80881157","fluorotelomer alcohol",8,NA,NA,NA,16.8121639522589,35.9151666989953,38.3426821860569,19.5701897672635,NA,NA,NA,NA,NA,46.1105615474824,18.8585223707533,NA,NA,NA,NA,NA,494.148,NA,7.45,4.88,"0.0093600000000000003",NA,NA,NA,"GC","Volatile",NA,NA,NA,NA,41.7
"30",4346,"Methyl perfluoro(3-(1-ethenyloxypropan-2-yloxy)propanoate)","63863-43-4","DTXSID8044969","perfluoroalkylether acid methyl ester",7,31.7306786835573,99.1523080743877,NA,18.5874772867435,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.7744866899096,NA,NA,NA,NA,NA,422.098,"-",3.47056,2.9214,"1.28529","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"31",4347,"Perfluoropentanamide","355-81-7","DTXSID70366226","perfluoroalkyl amide",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245.072,"-",4.50246,2.23605,"0.29308899999999999","0.0023334599999999999",NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"32",4348,"2,2,3,3,4,4,4-Heptafluorobutyl methacrylate","13695-31-3","DTXSID3065586","fluorotelomer methacrylate",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,268.131,"-",3.2348,2.59576,"4.7533500000000002","-",NA,0.14,"GC","Volatile",NA,NA,NA,NA,66.5
"33",4349,"1-Pentafluoroethylethanol","374-40-3","DTXSID70880134","perfluoroalkyl alcohol",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.075,NA,2.62,1.41,"25.300000000000001",NA,NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"34",4350,"N-Methylperfluorooctanesulfonamide","31506-32-8","DTXSID1067629","perfluoroalkyl sulfonamide",8,NA,NA,NA,52.7777874925383,57.2443834071284,NA,38.8813914279208,NA,NA,NA,NA,NA,NA,28.9766200234586,NA,NA,NA,NA,0.14,513.17,"-",4.55743,3.73466,"0.83752899999999997","0.000341193",NA,0.14,"LC","Non-Volatile",NA,NA,3.7,NA,0.14
"35",4351,"Perfluoro-2,5-dimethyl-3,6-dioxanonanoic acid","13252-14-7","DTXSID00892442","perfluoroalkylether carboxylic acid",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.5,496.076,NA,4.05,7.7,"0.0022200000000000002",NA,NA,66.5,"LC","Non-Volatile",NA,NA,NA,NA,66.5
"36",4352,"(Heptafluorobutanoyl)pivaloylmethane","17587-22-3","DTXSID3066215","perfluoroalkyl dione",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.185,"-",4.50152,3.97181,"0.114025","0.0017988699999999999",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"37",4353,"N-Methyl-N-(2-hydroxyethyl)perfluorooctanesulfonamide","24448-09-7","DTXSID7027831","perfluoroalkyl sulfonamide",8,NA,NA,NA,84.4003646359871,77.2972519139371,83.4768853790516,72.0997862299518,83.2954204145116,NA,83.2954204145116,NA,NA,83.4768853790516,69.0894442172837,NA,NA,NA,NA,NA,557.22,"-",6.70978,4.52603,"0.11695","0.00056234099999999995",NA,NA,"GC","Volatile",NA,NA,NA,NA,100
"38",4354,"Perfluoro-3,6-dioxaheptanoic acid","151772-58-6","DTXSID30382063","perfluoroalkylether carboxylic acid",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296.045,"-",3.79785,2.20148,"0.19186700000000001","0.0028906800000000001",NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"39",4355,"3-(Perfluoroisopropyl)-2-propenoic acid","243139-64-2","DTXSID40380257","perfluoroalkyl carboxylic acid",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240.077,"-",4.08185,3.01605,"2.2803399999999998","-",NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"40",4356,"(Perfluoro-5-methylhexyl)ethyl 2-methylprop-2-enoate","50836-66-3","DTXSID60379901","perfluoroalkylether carboxylic acid",7,NA,NA,NA,NA,NA,NA,NA,NA,89.045382823252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482.189,"-",4.43711,4.72548,"0.445656","-",NA,NA,"GC","Volatile",NA,33.3,NA,NA,NA
"41",4357,"1H,1H-Perfluoropentylamine","355-27-1","DTXSID60377826","fluorotelomer amine",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249.08,"-",3.73183,2.56714,"94.841800000000006","0.00346737",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"42",4358,"11:1 Fluorotelomer alcohol","423-65-4","DTXSID80375107","fluorotelomer alcohol",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.7,NA,NA,NA,600.118,"-",4.71563,4.77191,"0.057147900000000001","0.00075509199999999996",41.7,NA,"GC","Volatile",NA,0.41,NA,NA,NA
"43",4359,"Perfluorocyclohexanecarbonyl fluoride","6588-63-2","DTXSID80379781","perfluorocyclohexane",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328.057,"-",3.13954,5.64798,"9.2896599999999996","-",NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"44",4360,"2H,2H,3H,3H-Perfluorooctanoic acid","914637-49-3","DTXSID20874028","fluorotelomer carboxylic acid",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,342.108,NA,4.25,4,"0.29299999999999998",NA,NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"45",4361,"((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane","19932-26-4","DTXSID70880230","fluorotelomer epoxide",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188.122,NA,3.47,1.17,"2.48",NA,NA,NA,"GC","Volatile",NA,NA,NA,NA,NA
"46",4362,"4:2 Fluorotelomer sulfonic acid","757124-72-4","DTXSID30891564","fluorotelomer sulfonic acid",4,NA,NA,NA,NA,97.0977937469518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328.15,NA,4.77,1.7,"1.3200000000000001e-06",NA,NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"47",4363,"2-(Perfluorohexyl)ethylphosphonic acid","252237-40-4","DTXSID20179883","perfluoroalkyl phosphonic acid",6,60.526751835175,NA,NA,66.4643792209039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428.086,"-",7.84035,3.27547,"-","-",NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"48",4364,"Perfluoro-4-isopropoxybutanoic acid","801212-59-9","DTXSID60663110","perfluoroalkylether carboxylic acid",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380.061,NA,4.08,5.09,"0.089999999999999997",NA,NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"49",4365,"3-Perfluoroheptylpropanoic acid","812-70-4","DTXSID90382620","perfluoroalkyl carboxylic acid",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,442.124,"-",4.77834,4.16425,"0.028641799999999999","0.0010543900000000001",NA,NA,"LC","Non-Volatile",NA,NA,NA,NA,NA
"50",4366,"2-(Perfluorooctyl)ethanthiol","34143-74-3","DTXSID20337446","perfluoroalkyl thiol",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,NA,NA,NA,480.18,"-",3.72761,3.91288,"0.78523600000000005","-",33.3,NA,"GC","Volatile",NA,33.3,NA,NA,NA
"51",4367,"Perfluorooctane","307-34-6","DTXSID0059794","perfluoroalkane",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.3,438.059,"-",1.59139,4.01607,"44.668399999999998","0.000659174",NA,33.3,"GC","Volatile",NA,NA,NA,NA,33.3
"52",4368,"N-Ethylperfluorooctanesulfonamide","4151-50-2","DTXSID1032646","perfluoroalkyl sulfonamide",8,NA,NA,NA,51.1905847900321,15.7594004000993,71.4264745532939,52.0434006195758,NA,NA,76.5537785896686,NA,NA,73.9095560441459,43.7001251386558,NA,0.015,NA,33.3,NA,527.2,"125/795",4.92043,3.6865,"0.54075399999999996","0.00088715599999999995",0.015,33.3,"LC","Non-Volatile",NA,0.015,NA,33.3,NA
